stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1148,48002061,SANTA JULIANA (1148),,43.3182324596612,-3.07937208237065,3,,0,,Europe/Madrid,1,0,
1147,48002030,SANTA JULIANA (1147),,43.3181329797357,-3.07998857772734,3,,0,,Europe/Madrid,1,0,
9007,48076004+1,KANALA (ELEXALDE) (9007),,43.3790024002524,-2.67350213772828,4,,0,,Europe/Madrid,0,0,
9008,48076005+1,KANALA (JANTOKIA) (9008),,43.3853626273376,-2.67804544698854,4,,0,,Europe/Madrid,0,0,
9009,48076006+1,KANALA (JANTOKIA) (9009),,43.3854270754267,-2.67826091607966,4,,0,,Europe/Madrid,0,0,
9010,48076007+1,KANALA (ELEXALDE) (9010),,43.3788745677718,-2.67357615169562,4,,0,,Europe/Madrid,0,0,
2163,48062010,BIZKOERROTA (2163),,43.2863746916408,-2.63127780047364,5,,0,,Europe/Madrid,0,0,
2164,48062011,BIZKOERROTA (2164),,43.2865104733731,-2.6314988499916,5,,0,,Europe/Madrid,0,0,
3164,48089015,URDULIZKO OSPITALEA (3164),,43.3758098797676,-2.95954812368797,3,,0,,Europe/Madrid,1,0,
3174,48069073,ANBULATEGIA (3174),,43.3574056705528,-2.84488057749779,3,,0,,Europe/Madrid,1,0,
3173,48069072,ANBULATEGIA (3173),,43.3574508603196,-2.84500386693114,3,,0,,Europe/Madrid,1,0,
3204,48069071,PLENTZIA BIDEA (BILLELA AUZOTEGIA) (3204),,43.3652510416261,-2.84668721000658,3,,0,,Europe/Madrid,0,0,
3203,48069070,PLENTZIA BIDEA (BILLELA AUZOTEGIA) (3203),,43.3656931526569,-2.84735257137451,3,,0,,Europe/Madrid,0,0,
3166,48040024,BUTROE (3166),,43.3696688801308,-2.91168630839359,3,,0,,Europe/Madrid,0,0,
3167,48040025,BUTROE (3167),,43.370586879604,-2.91109250671839,3,,0,,Europe/Madrid,0,0,
1235,48071048,MARCELO GANGOITI (EGOITZA) (1235),,43.3224585022696,-3.12624439450906,3,,0,,Europe/Madrid,1,0,
1226,48045035,LASIER (1226),,43.2064963098296,-3.08777018893191,3,,0,,Europe/Madrid,1,0,
1227,48045036,LASIER (1227),,43.2063433705208,-3.08758532036421,3,,0,,Europe/Madrid,1,0,
9011,48054020+1,EHU BIBLIOTEKA (9011),,43.3306557245301,-2.96897184632124,2,,0,,Europe/Madrid,0,0,
2848,48091024,ARRANTURRIAGA (2848),,43.1004674764053,-2.58299475468418,5,,0,,Europe/Madrid,0,0,
2849,48091025,ARRANTURRIAGA (2849),,43.1001162038034,-2.58297256134548,5,,0,,Europe/Madrid,0,0,
1961,48049018,ESKA (1961),,43.360713133551,-2.54081195304095,5,,0,,Europe/Madrid,0,0,
1962,48049019,BASOKOETXE POLIGONOA (1962),,43.3600753188126,-2.53671956257717,5,,0,,Europe/Madrid,0,0,
1992,48068005,RAIMUNDO ABAROA KALEA (1992),,43.4093078039104,-2.70016768123899,4,,0,,Europe/Madrid,1,0,
216,48902111,QUIRON OSPITALEA (216),,43.3291284008075,-2.95429985550091,2,,0,,Europe/Madrid,1,0,
4093,48036060,ALDATSA (HILERRIA) (4093),,43.2327938358122,-2.83427334149693,2,,0,,Europe/Madrid,1,0,
4094,48036061,ALDATSA (HILERRIA) (4094),,43.2329469332979,-2.83428524195905,2,,0,,Europe/Madrid,1,0,
3884,48072011,OLETAKO BIDEA (3884),,43.0386360535591,-2.64910449771991,5,,0,,Europe/Madrid,1,0,
3885,48072012,OLETAKO BIDEA (3885),,43.0386638958742,-2.64937441910602,5,,0,,Europe/Madrid,0,0,
2643,48055003,ESTAZIÑOA (BIRIBILGUNEA) (2643),,43.2069816798181,-2.77838162336523,3,,0,,Europe/Madrid,1,0,
2995,48025041,ARTZUBI (2995),,43.1483012987606,-2.86084474252729,3,,0,,Europe/Madrid,0,0,
